"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
411,D-2620-108,Dell Latitude 5520 16gb ram 124gb ssd iris graphics Notebook/Laptop,9,177,2026-04-03 16:35:50.495 -0500,
412,D-2620-106,Dell Latitude 5520 16gb ram 256gb ssd iris graphics Notebook/Laptop,9,177,2026-04-03 16:36:44.449 -0500,
413,D-2620-105,Dell Latitude 5511 16gb ram 256gb ssd i7-10850H Notebook/Laptop,9,177,2026-04-03 16:38:28.875 -0500,
414,D-2620-104,Dell Latitude 5511 16gb ram 256gb ssd i7-10850H Notebook/Laptop,9,177,2026-04-03 16:39:12.088 -0500,
415,D-2620-102,Lenovo YOGA 730-15IWL 16gb ram 256gb ssd i7-8565u UHD Graphics Notebook/Laptop,9,177,2026-04-03 16:40:15.164 -0500,
416,D-2620-101,HP eliteBook 840 16gb ram 256gb ssd i7-1185g7 intel iris graphics Notebook/Laptop,9,177,2026-04-03 16:41:14.292 -0500,
417,D-2620-100,HP eliteBook 840 16gb ram 256gb ssd i7-1185g7 intel iris graphics Notebook/Laptop,9,177,2026-04-03 16:42:16.189 -0500,
418,D-2620-99,"Apple MacBookPro15,2 16gb ram 2133mt/s 256gb SSD i7-8569U intel iris plus graphics 655 Notebook/Laptop",9,177,2026-04-03 16:43:36.850 -0500,
405,D-2620-72,Dell Latitude 3510 Notebook/Laptop,9,177,2026-03-31 17:26:27.618 -0500,
420,D-0413-CPU-1,Intel Core i5-4670 SR14D CPU/Processor,12,164,2026-04-13 12:17:13.744 -0500,
421,D-0413-CPU-2,Intel I3-8100 (SR3N5) CPU/Processor,19,164,2026-04-13 12:23:47.244 -0500,
424,D-0413-CPU-5,Intel Core i7-3770 SR0PK CPU/Processor,19,164,2026-04-13 13:35:14.986 -0500,
425,D-0413-CPU-6,Intel SR00B CPU/Processor,19,164,2026-04-13 13:45:14.698 -0500,
427,D-0413-CPU-7,Intel SR1QJ CPU/Processor,19,164,2026-04-13 14:05:17.570 -0500,
428,D-04123-CPU-8,Intel SR14E CPU/Processor,19,164,2026-04-13 14:21:23.002 -0500,
429,D-0413-CPU-9,Intel SR1QQ CPU/Processor,19,164,2026-04-13 14:46:08.795 -0500,
430,D-0413-CPU-10,Intel SR0T8 CPU/Processor,19,164,2026-04-13 15:22:08.235 -0500,
431,KB-0822-136,Corsair Vengence DDR3 SDRAM,23,170083,2026-04-13 16:06:45.819 -0500,
432,D-2620-144,"Apple MacBook Pro ""Core i7"" 2.6 15"" Touch/Late 2016 16GB Ram 256gb SSD i7-6700HQ AMD Radeon Pro 4502gb Notebook/Laptop",9,177,2026-04-13 18:19:30.642 -0500,
433,D-2620-139,"Apple MacBook Pro ""Core i5"" 2.7 13"" Early 2015 8gb RAM 128gb SSD i5-5257U Iris 6100 Notebook/Laptop",9,177,2026-04-13 18:21:09.831 -0500,
423,D-0413-CPU-4,Intel SR1QF CPU/Processor,12,164,2026-04-13 13:26:03.044 -0500,
404,LB_0326_2,AMD Radeon RX 6800 XT Graphic Card,12,27386,2026-03-31 16:48:49.884 -0500,
400,KB_0326_2,Ramaxel DDR4 SDRAM,12,170083,2026-03-26 15:10:52.805 -0500,
407,D-2620-98,Apple A2482 Iphone 13 Blue 128GB Unlocked Smartphone,12,9355,2026-04-02 15:20:57.429 -0500,
332,D-2620-46,"Dell Precision 5540. 16gb, 256gb ssd, Notebook/Laptop",12,177,2026-02-14 11:38:06.945 -0600,
434,D-2620-148,Dell OptiPlex 3060,1,179,2026-04-14 15:16:34.713 -0500,
436,D-2620-146,HP eliteBook 840 8gb ram 256gb SSD i7-8565U Notebook/Laptop,9,177,2026-04-15 15:52:30.451 -0500,
437,"D-2620-122,126,127,128,129,134.",Lot of 6 ThinkPad Lenovo T480 8gb ram 256gb SSD i5-6200 Notebook/Laptop,9,177,2026-04-15 16:36:56.912 -0500,
438,D-2620-138,Lenovo ThinkPad T480 8gb ram 256gb ssd Notebook/Laptop,9,177,2026-04-15 16:45:37.634 -0500,
